crashSeverity,crashYear,region,weatherA,roadSurface,light,trafficControl,urban
Non-Injury Crash,2001,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2005,Waikato Region,Fine,Sealed,Overcast,Give way,Open
Minor Crash,2017,Taranaki Region,Fine,Sealed,Dark,Unknown,Urban
Minor Crash,2010,Marlborough Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2023,Auckland Region,Light rain,Sealed,Overcast,Nil,Open
Minor Crash,2005,Otago Region,Light rain,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2019,Bay of Plenty Region,Fine,Sealed,Overcast,Give way,Urban
Minor Crash,2011,Taranaki Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2020,Nelson Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2016,Canterbury Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2022,Otago Region,Light rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2022,Auckland Region,Fine,Sealed,Overcast,Stop,Open
Minor Crash,2024,Bay of Plenty Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2018,Bay of Plenty Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2022,Auckland Region,Heavy rain,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2008,Otago Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2000,Southland Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2004,Waikato Region,Light rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2012,Hawke's Bay Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2011,Auckland Region,Light rain,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2020,Otago Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2009,Waikato Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2020,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2023,Auckland Region,Fine,Sealed,Overcast,Stop,Urban
Minor Crash,2006,Taranaki Region,Fine,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2011,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2008,Otago Region,Fine,Unsealed,Bright sun,Unknown,Open
Serious Crash,2010,Hawke's Bay Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2005,Otago Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2021,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Open
Minor Crash,2025,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2019,Auckland Region,Mist or Fog,Sealed,Dark,Unknown,Open
Non-Injury Crash,2022,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2022,Auckland Region,Null,Sealed,Dark,Nil,Urban
Serious Crash,2009,Otago Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2012,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2003,Manawatū-Whanganui Region,Light rain,Unsealed,Overcast,Nil,Open
Fatal Crash,2018,Waikato Region,Fine,Sealed,Overcast,Stop,Open
Non-Injury Crash,2002,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2015,Taranaki Region,Fine,Sealed,Overcast,Nil,Open
Minor Crash,2010,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2018,Marlborough Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2000,Canterbury Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2024,Hawke's Bay Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2010,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Serious Crash,2006,Auckland Region,Fine,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2024,Waikato Region,Heavy rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2018,Northland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Serious Crash,2017,Otago Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2018,Wellington Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Minor Crash,2020,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2004,Waikato Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2008,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Open
Minor Crash,2012,Canterbury Region,Fine,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2017,Waikato Region,Null,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2023,Auckland Region,Light rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2015,Nelson Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2003,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Give way,Urban
Minor Crash,2013,Canterbury Region,Heavy rain,Sealed,Dark,Traffic Signals,Urban
Minor Crash,2020,Auckland Region,Fine,Sealed,Bright sun,Stop,Urban
Serious Crash,2022,Waikato Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2017,Canterbury Region,Fine,Sealed,Twilight,Nil,Urban
Non-Injury Crash,2004,Waikato Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2011,Otago Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2012,Wellington Region,Fine,Sealed,Dark,Nil,Open
Minor Crash,2010,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2008,Auckland Region,Light rain,Sealed,Overcast,Nil,Open
Minor Crash,2009,Hawke's Bay Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2003,Hawke's Bay Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2009,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2019,Bay of Plenty Region,Fine,Sealed,Dark,Unknown,Open
Minor Crash,2003,West Coast Region,Light rain,Sealed,Dark,Unknown,Open
Non-Injury Crash,2020,Nelson Region,Null,Sealed,Dark,Nil,Urban
Minor Crash,2008,Southland Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2008,Canterbury Region,Fine,Unsealed,Overcast,Unknown,Urban
Non-Injury Crash,2019,Waikato Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2003,Auckland Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2007,Taranaki Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2001,Bay of Plenty Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2021,Taranaki Region,Fine,Sealed,Dark,Stop,Urban
Minor Crash,2005,Canterbury Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2010,Canterbury Region,Heavy rain,Sealed,Overcast,Unknown,Open
Minor Crash,2004,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2011,Canterbury Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2003,Canterbury Region,Mist or Fog,Sealed,Dark,Traffic Signals,Urban
Minor Crash,2011,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2018,Auckland Region,Heavy rain,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2015,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2020,Southland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2023,Marlborough Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2016,Hawke's Bay Region,Fine,Sealed,Bright sun,Unknown,Urban
Minor Crash,2015,Southland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2019,Auckland Region,Light rain,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2019,Bay of Plenty Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2019,Auckland Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2005,Waikato Region,Light rain,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2008,Canterbury Region,Fine,Sealed,Overcast,Stop,Open
Minor Crash,2025,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2001,Wellington Region,Light rain,Sealed,Overcast,Give way,Open
Minor Crash,2018,Waikato Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2008,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2012,Wellington Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2012,Northland Region,Fine,Sealed,Bright sun,Stop,Open
Non-Injury Crash,2008,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2007,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Minor Crash,2007,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2005,Waikato Region,Fine,Sealed,Bright sun,Give way,Open
Non-Injury Crash,2013,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2013,Auckland Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2017,Southland Region,Mist or Fog,Sealed,Dark,Give way,Open
Non-Injury Crash,2010,Wellington Region,Light rain,Sealed,Dark,Nil,Open
Minor Crash,2023,Bay of Plenty Region,Fine,Sealed,Dark,Stop,Urban
Non-Injury Crash,2024,Canterbury Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2017,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2021,Bay of Plenty Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2003,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2005,Wellington Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2012,Auckland Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2017,Auckland Region,Light rain,Sealed,Dark,Give way,Urban
Non-Injury Crash,2002,Waikato Region,Fine,Sealed,Dark,Give way,Urban
Minor Crash,2007,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2011,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2007,Wellington Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2013,Bay of Plenty Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2004,Taranaki Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2018,Wellington Region,Fine,Sealed,Overcast,Unknown,Open
Minor Crash,2015,Canterbury Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2024,Bay of Plenty Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2008,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Minor Crash,2001,Southland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2012,Wellington Region,Heavy rain,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2012,Canterbury Region,Light rain,Sealed,Overcast,Give way,Open
Non-Injury Crash,2010,West Coast Region,Mist or Fog,Sealed,Dark,Unknown,Open
Minor Crash,2009,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2016,Waikato Region,Fine,Sealed,Twilight,Give way,Urban
Serious Crash,2004,Otago Region,Light rain,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2020,Auckland Region,Light rain,Sealed,Dark,Nil,Open
Serious Crash,2000,Canterbury Region,Fine,Unsealed,Bright sun,Unknown,Open
Non-Injury Crash,2010,Auckland Region,Fine,Unsealed,Overcast,Nil,Urban
Minor Crash,2024,Wellington Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2007,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Serious Crash,2021,Otago Region,Light rain,Sealed,Dark,Stop,Urban
Non-Injury Crash,2009,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2022,Waikato Region,Heavy rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2003,Auckland Region,Null,Sealed,Bright sun,Nil,Urban
Serious Crash,2008,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Minor Crash,2015,Bay of Plenty Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2019,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2014,Canterbury Region,Fine,Sealed,Twilight,Traffic Signals,Urban
Minor Crash,2024,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Minor Crash,2003,Auckland Region,Fine,Sealed,Twilight,Traffic Signals,Urban
Non-Injury Crash,2001,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2006,Wellington Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2003,Otago Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2019,Wellington Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Minor Crash,2010,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2011,Bay of Plenty Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2019,Canterbury Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2014,Bay of Plenty Region,Fine,Sealed,Bright sun,Stop,Open
Non-Injury Crash,2002,Auckland Region,Fine,Sealed,Dark,Stop,Urban
Non-Injury Crash,2015,Bay of Plenty Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Minor Crash,2006,Wellington Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2020,Northland Region,Fine,Unsealed,Overcast,Nil,Open
Minor Crash,2006,Nelson Region,Heavy rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2024,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2020,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Serious Crash,2019,Auckland Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2023,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2012,Waikato Region,Fine,Sealed,Dark,Unknown,Open
Minor Crash,2008,Auckland Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2004,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2020,Canterbury Region,Heavy rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2022,Bay of Plenty Region,Fine,Sealed,Twilight,Nil,Open
Non-Injury Crash,2013,Wellington Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2009,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2025,Wellington Region,Light rain,Sealed,Dark,Nil,Open
Serious Crash,2010,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2011,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2009,Auckland Region,Light rain,Sealed,Dark,Nil,Urban
Non-Injury Crash,2015,Bay of Plenty Region,Null,Sealed,Overcast,Unknown,Open
Minor Crash,2022,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2002,Taranaki Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2022,Wellington Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2023,Southland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2006,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2008,Otago Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2011,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2021,Canterbury Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2002,Wellington Region,Fine,Unsealed,Bright sun,Nil,Urban
Non-Injury Crash,2020,Auckland Region,Light rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2006,Auckland Region,Fine,Sealed,Dark,Give way,Urban
Minor Crash,2024,Bay of Plenty Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2002,Canterbury Region,Fine,Sealed,Overcast,Unknown,Open
Minor Crash,2009,Auckland Region,Fine,Sealed,Overcast,Nil,Open
Serious Crash,2022,Waikato Region,Fine,Sealed,Bright sun,Give way,Open
Fatal Crash,2007,Taranaki Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2006,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2000,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2019,Otago Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2002,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2019,Hawke's Bay Region,Fine,Sealed,Dark,Give way,Open
Minor Crash,2016,Wellington Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2019,Bay of Plenty Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2002,Waikato Region,Light rain,Sealed,Overcast,Give way,Open
Non-Injury Crash,2000,Taranaki Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2001,Waikato Region,Mist or Fog,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2000,West Coast Region,Heavy rain,Sealed,Overcast,Unknown,Open
Minor Crash,2005,Northland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2002,Bay of Plenty Region,Light rain,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2024,Manawatū-Whanganui Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2002,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2002,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2010,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2008,Waikato Region,Heavy rain,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2015,Canterbury Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2006,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2015,Otago Region,Light rain,Sealed,Overcast,Traffic Signals,Urban
Minor Crash,2011,Northland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2013,Auckland Region,Fine,Sealed,Dark,Stop,Urban
Non-Injury Crash,2019,Bay of Plenty Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2004,Canterbury Region,Fine,Sealed,Twilight,Nil,Urban
Non-Injury Crash,2019,Bay of Plenty Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2016,Auckland Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2022,Taranaki Region,Light rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2011,Taranaki Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2015,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2022,Auckland Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2017,Otago Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2017,Canterbury Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2023,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2007,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2021,Bay of Plenty Region,Null,Sealed,Unknown,Unknown,Urban
Non-Injury Crash,2006,Bay of Plenty Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2005,Bay of Plenty Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2006,Bay of Plenty Region,Fine,Sealed,Bright sun,Unknown,Urban
Minor Crash,2002,Wellington Region,Fine,Unsealed,Bright sun,Nil,Open
Non-Injury Crash,2001,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2023,Canterbury Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Bright sun,Unknown,Urban
Minor Crash,2007,Wellington Region,Fine,Sealed,Bright sun,Nil,Open
Serious Crash,2018,Wellington Region,Fine,Sealed,Bright sun,Unknown,Urban
Serious Crash,2023,Canterbury Region,Fine,Sealed,Overcast,Nil,Open
Minor Crash,2011,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2006,Canterbury Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2013,Waikato Region,Fine,Unsealed,Bright sun,Unknown,Open
Non-Injury Crash,2005,Waikato Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2016,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2008,Manawatū-Whanganui Region,Heavy rain,Sealed,Dark,Nil,Open
Minor Crash,2004,Otago Region,Fine,Sealed,Dark,Give way,Open
Non-Injury Crash,2001,Hawke's Bay Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2025,Canterbury Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2016,Otago Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2025,Auckland Region,Null,Null,Unknown,Nil,Open
Minor Crash,2006,Auckland Region,Light rain,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2009,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Minor Crash,2009,Wellington Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2008,Auckland Region,Fine,Sealed,Overcast,Pointsman,Open
Non-Injury Crash,2018,Manawatū-Whanganui Region,Light rain,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2021,Otago Region,Null,Sealed,Unknown,Stop,Urban
Non-Injury Crash,2016,Canterbury Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2016,Waikato Region,Light rain,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2011,Waikato Region,Fine,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2000,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2018,Wellington Region,Fine,Sealed,Overcast,Unknown,Urban
Serious Crash,2017,Auckland Region,Fine,Sealed,Dark,Unknown,Urban
Minor Crash,2025,Manawatū-Whanganui Region,Fine,Sealed,Dark,Nil,Urban
Fatal Crash,2014,Manawatū-Whanganui Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2022,Gisborne Region,Fine,Sealed,Overcast,Give way,Urban
Serious Crash,2018,Northland Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2000,Auckland Region,Fine,Sealed,Dark,Stop,Urban
Non-Injury Crash,2024,Auckland Region,Fine,Sealed,Unknown,Nil,Urban
Non-Injury Crash,2006,Auckland Region,Light rain,Sealed,Overcast,Give way,Open
Non-Injury Crash,2017,Northland Region,Heavy rain,Sealed,Dark,Unknown,Open
Non-Injury Crash,2001,Auckland Region,Null,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2014,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2004,Otago Region,Heavy rain,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2007,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Open
Minor Crash,2014,Canterbury Region,Fine,Sealed,Bright sun,Nil,Open
Serious Crash,2013,Wellington Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2002,Canterbury Region,Fine,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2016,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2003,Otago Region,Fine,Sealed,Bright sun,Give way,Open
Non-Injury Crash,2003,Bay of Plenty Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2017,Waikato Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2021,Otago Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2009,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2007,Northland Region,Light rain,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2010,Auckland Region,Fine,Sealed,Twilight,Unknown,Open
Non-Injury Crash,2016,Waikato Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2024,Southland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2014,Wellington Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Minor Crash,2000,Taranaki Region,Light rain,Sealed,Dark,Nil,Open
Non-Injury Crash,2003,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2007,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2023,Auckland Region,Light rain,Sealed,Bright sun,Nil,Urban
Minor Crash,2024,Tasman Region,Fine,Sealed,Twilight,Nil,Open
Non-Injury Crash,2009,Bay of Plenty Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2013,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2019,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2015,Waikato Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2002,Otago Region,Fine,Sealed,Twilight,Traffic Signals,Urban
Non-Injury Crash,2022,Auckland Region,Fine,Sealed,Dark,Give way,Urban
Minor Crash,2022,Bay of Plenty Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2025,Northland Region,Fine,Sealed,Bright sun,Give way,Open
Non-Injury Crash,2025,Manawatū-Whanganui Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2004,Waikato Region,Fine,Sealed,Dark,Stop,Open
Non-Injury Crash,2016,Canterbury Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2016,West Coast Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2021,Auckland Region,Light rain,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2021,Auckland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2001,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2008,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2016,Auckland Region,Null,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2005,Canterbury Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2012,Southland Region,Fine,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2009,Auckland Region,Fine,Sealed,Bright sun,Unknown,Urban
Minor Crash,2016,Auckland Region,Light rain,Sealed,Dark,Unknown,Open
Non-Injury Crash,2019,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Unknown,Urban
